Image Address     , Image Name        , Routine Address   , Routine Name      , Instructions Count
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0ce140, _ZNSt7__cxx1110moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc, 112
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cee90, _ZNSt7__cxx1110moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc, 108
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0ce880, _ZNSt7__cxx1110moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc, 108
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cb060, _ZNSt10moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc, 108
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cb670, _ZNSt10moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc, 108
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cfc30, _ZNSt11__timepunctIcE23_M_initialize_timepunctEP15__locale_struct, 107
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0d05c0, _ZNSt11__timepunctIwE23_M_initialize_timepunctEP15__locale_struct, 105
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb4de40, malloc, 105
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1305a0, _ZNSolsEi, 100
0x7fee9a021000, libstdc++.so.6, 0x7fee9a10ade0, _ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE6xsputnEPKcl, 100
0x7fee99c3e000, libc.so.6, 0x7fee99c5e5a0, _init, 98
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0c00d0, _ZNSt6localeD1Ev, 96
0x7fee99706000, libgcc_s.so.1, 0x7fee99708ca0, __cpu_indicator_init, 88
0x7fee9a021000, libstdc++.so.6, 0x7fee9a115590, _ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E, 88
0x7fee9a021000, libstdc++.so.6, 0x7fee9a115ed0, _ZNSt9basic_iosIwSt11char_traitsIwEE4initEPSt15basic_streambufIwS1_E, 88
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1478a0, _ZSt9has_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1478f0, _ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1221c0, _ZSt9has_facetISt5ctypeIcEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a122300, _ZSt9has_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a122350, _ZSt9has_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a147760, _ZSt9has_facetISt5ctypeIwEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a120550, _ZSt9use_facetISt5ctypeIcEERKT_RKSt6locale, 76
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1211c0, _ZSt9use_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale, 76
0x7fee9a021000, libstdc++.so.6, 0x7fee9a121210, _ZSt9use_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale, 76
